iter	RMSE
0	2302470.315
1	2186392.774
2	2077952.071
3	1975813.085
4	1880151.168
5	1795634.63
6	1716409.418
7	1641018.767
8	1570721.069
9	1508017.111
10	1449006.842
11	1388564.051
12	1335998.07
13	1287744.805
14	1238711.513
15	1192568.149
16	1151107.298
17	1115121.914
18	1079732.716
19	1048270.999
20	1018601
21	988688.5818
22	962353.6602
23	938974.2347
24	917216.0386
25	896469.3062
26	879001.2146
27	860500.5324
28	846212.045
29	832417.6663
30	818848.8236
31	805864.368
32	791993.5637
33	780307.3657
34	768654.0874
35	759807.8608
36	752296.183
37	744387.0583
38	734555.069
39	725306.1689
40	719293.1164
41	712227.4321
42	706094.7624
43	700566.2955
44	694738.0721
45	690190.9408
46	684831.8599
47	679450.8962
48	675544.5135
49	669812.4982
50	665405.5695
51	661204.7915
52	657756.5094
53	654364.0445
54	651559.0961
55	648351.3043
56	646013.3723
57	643504.1844
58	641488.1512
59	638823.6874
60	636736.9308
61	634106.9225
62	631752.8342
63	629597.8727
64	626437.8035
65	624952.4316
66	622938.5883
67	620778.7683
68	618524.3396
69	616607.5387
70	614621.5083
71	613209.2485
72	612125.4712
73	610226.2885
74	608018.1764
75	606803.5196
76	606416.2636
77	604320.9457
78	603477.8961
79	601946.1492
80	600862.0872
81	599703.1191
82	599366.117
83	598796.9764
84	597592.5947
85	595658.2861
86	593975.1348
87	592445.9176
88	591623.3684
89	591328.7561
90	589302.7827
91	587203.3781
92	586656.0845
93	585584.1208
94	585515.2753
95	584323.9855
96	582845.6584
97	581922.171
98	580551.6559
99	579702.288
100	578674.4756
101	577540.218
102	575874.7896
103	574348.9355
104	572636.6256
105	571881.4775
106	571024.4917
107	570249.0691
108	569657.5125
109	568354.3254
110	567649.7725
111	567123.0336
112	565885.5634
113	564266.6735
114	563107.5284
115	562163.6803
116	561560.9325
117	559614.9483
118	558323.938
119	558052.4759
120	556644.5619
121	556248.8811
122	555508.0426
123	554282.6023
124	552852.3471
125	551861.8864
126	551673.1239
127	551224.2503
128	549934.5419
129	549236.109
130	548840.9519
131	547973.4185
132	547116.1685
133	546552.8931
134	545782.5529
135	544402.9338
136	544014.9031
137	543234.4375
138	541974.9956
139	540955.4027
140	539975.6049
141	538768.1007
142	538247.4358
143	537725.3309
144	537495.0289
145	536955.33
146	536474.44
147	536053.1497
148	535877.8654
149	535328.4129
150	534952.3425
151	534574.3783
152	534284.7986
153	533273.2999
154	532683.5537
155	532018.4584
156	531368.7574
