iter	Passed	Remaining
0	49	49873
1	98	49233
2	144	47887
3	195	48691
4	244	48618
5	292	48498
6	338	48084
7	387	47991
8	431	47524
9	480	47590
10	530	47708
11	582	47921
12	629	47811
13	678	47769
14	732	48113
15	789	48565
16	842	48710
17	893	48738
18	944	48783
19	995	48770
20	1045	48758
21	1098	48833
22	1147	48725
23	1195	48620
24	1252	48863
25	1304	48859
26	1354	48810
27	1407	48852
28	1455	48746
29	1504	48655
30	1554	48587
31	1601	48431
32	1655	48511
33	1703	48406
34	1757	48458
35	1805	48355
36	1856	48309
37	1902	48153
38	1953	48130
39	2003	48074
40	2052	48018
41	2102	47954
42	2149	47835
43	2200	47818
44	2253	47816
45	2302	47744
46	2350	47664
47	2408	47760
48	2457	47694
49	2511	47709
50	2562	47682
51	2617	47714
52	2665	47622
53	2720	47650
54	2771	47611
55	2823	47602
56	2874	47560
57	2924	47494
58	2977	47480
59	3032	47513
60	3086	47511
61	3137	47466
62	3193	47493
63	3275	47899
64	3334	47969
65	3383	47881
66	3432	47794
67	3480	47709
68	3531	47648
69	3582	47593
70	3630	47508
71	3681	47444
72	3729	47362
73	3783	47342
74	3834	47286
75	3887	47259
76	3933	47152
77	3984	47104
78	4032	47011
79	4081	46935
80	4132	46891
81	4187	46879
82	4240	46845
83	4292	46807
84	4346	46794
85	4401	46777
86	4450	46705
87	4504	46684
88	4552	46598
89	4602	46536
90	4657	46525
91	4710	46495
92	4763	46453
93	4811	46378
94	4842	46132
95	4895	46096
96	5000	46554
97	5046	46445
98	5094	46361
99	5144	46303
100	5193	46225
101	5248	46205
102	5293	46102
103	5376	46319
104	5469	46620
105	5517	46533
106	5568	46476
107	5615	46382
108	5661	46277
109	5708	46188
110	5756	46106
111	5797	45966
112	5845	45885
113	5899	45851
114	5954	45820
115	6006	45770
116	6059	45732
117	6115	45713
118	6168	45667
119	6227	45671
120	6274	45577
121	6325	45524
122	6374	45453
123	6425	45394
124	6476	45334
125	6523	45251
126	6576	45207
127	6627	45150
128	6681	45110
129	6737	45087
130	6789	45035
131	6833	44935
132	6888	44903
133	6939	44844
134	6988	44778
135	7041	44732
136	7092	44675
137	7139	44593
138	7204	44628
139	7258	44589
140	7311	44542
141	7356	44450
142	7407	44395
143	7459	44342
144	7507	44267
145	7558	44210
146	7611	44166
147	7668	44143
148	7713	44054
149	7764	44000
150	7819	43965
151	7869	43902
152	7920	43845
153	7972	43799
154	8033	43793
155	8082	43731
156	8134	43677
157	8191	43654
158	8245	43615
159	8300	43579
160	8356	43548
161	8406	43487
162	8453	43409
163	8504	43351
164	8558	43312
165	8610	43257
166	8662	43210
167	8750	43337
168	8797	43260
169	8849	43208
170	8898	43140
171	8943	43052
172	8997	43010
173	9050	42964
174	9100	42900
175	9150	42839
176	9217	42857
177	9266	42794
178	9317	42735
179	9367	42676
180	9419	42622
181	9467	42553
182	9517	42489
183	9600	42573
184	9649	42508
185	9697	42438
186	9743	42360
187	9793	42299
188	9844	42241
189	9902	42215
190	9952	42152
191	9998	42076
192	10048	42015
193	10100	41965
194	10150	41904
195	10208	41873
196	10257	41811
197	10300	41722
198	10361	41707
199	10446	41785
200	10493	41711
201	10541	41643
202	10591	41582
203	10644	41532
204	10696	41481
205	10746	41422
206	10798	41369
207	10850	41313
208	10899	41249
209	10956	41217
210	11007	41160
211	11058	41102
212	11110	41051
213	11164	41005
214	11231	41008
215	11282	40950
216	11335	40901
217	11385	40839
218	11434	40776
219	11486	40724
220	11535	40660
221	11584	40598
222	11636	40545
223	11733	40648
224	11782	40584
225	11833	40527
226	11881	40458
227	11931	40399
228	11980	40337
229	12035	40291
230	12086	40235
231	12137	40180
232	12190	40130
233	12243	40079
234	12294	40022
235	12347	39973
236	12404	39936
237	12460	39893
238	12509	39832
239	12561	39778
240	12613	39726
241	12661	39658
242	12716	39613
243	12767	39557
244	12821	39510
245	12874	39459
246	12923	39398
247	12975	39344
248	13026	39288
249	13128	39385
250	13195	39375
251	13243	39310
252	13292	39247
253	13341	39183
254	13393	39130
255	13441	39065
256	13492	39008
257	13561	39001
258	13608	38934
259	13658	38874
260	13710	38818
261	13758	38755
262	13808	38694
263	13869	38665
264	13920	38610
265	13973	38558
266	14025	38504
267	14118	38561
268	14175	38520
269	14277	38601
270	14326	38537
271	14414	38579
272	14461	38512
273	14508	38442
274	14559	38383
275	14651	38433
276	14709	38394
277	14771	38363
278	14822	38304
279	14865	38226
280	14919	38175
281	14968	38110
282	15020	38056
283	15073	38003
284	15124	37943
285	15174	37883
286	15231	37841
287	15282	37782
288	15338	37735
289	15390	37679
290	15446	37635
291	15495	37571
292	15550	37522
293	15603	37470
294	15655	37414
295	15706	37355
296	15756	37295
297	15809	37241
298	15865	37197
299	15920	37148
300	15969	37084
301	16020	37026
302	16072	36971
303	16124	36915
304	16179	36867
305	16249	36852
306	16300	36795
307	16397	36840
308	16493	36882
309	16538	36811
310	16580	36733
311	16625	36662
312	16675	36601
313	16733	36558
314	16787	36506
315	16836	36442
316	16932	36482
317	16980	36417
318	17077	36456
319	17128	36398
320	17175	36331
321	17238	36298
322	17286	36232
323	17331	36159
324	17377	36092
325	17426	36028
326	17474	35964
327	17529	35913
328	17576	35847
329	17626	35786
330	17734	35843
331	17782	35780
332	17885	35823
333	17933	35759
334	17981	35695
335	18028	35626
336	18076	35562
337	18122	35493
338	18172	35434
339	18220	35370
340	18273	35313
341	18320	35248
342	18374	35194
343	18445	35174
344	18500	35123
345	18550	35063
346	18642	35082
347	18695	35027
348	18748	34971
349	18815	34942
350	18876	34903
351	18932	34853
352	19016	34854
353	19072	34804
354	19143	34782
355	19218	34766
356	19305	34770
357	19378	34751
358	19435	34701
359	19498	34664
360	19553	34610
361	19624	34585
362	19688	34549
363	19746	34502
364	19804	34454
365	19876	34431
366	19941	34394
367	20010	34366
368	20092	34357
369	20168	34341
370	20236	34309
371	20312	34291
372	20375	34250
373	20438	34210
374	20508	34180
375	20577	34149
376	20645	34117
377	20700	34063
378	20752	34002
379	20814	33960
380	20878	33921
381	20947	33889
382	21007	33842
383	21069	33798
384	21131	33755
385	21198	33720
386	21262	33679
387	21360	33692
388	21433	33665
389	21500	33628
390	21569	33595
391	21643	33569
392	21704	33522
393	21763	33473
394	21822	33424
395	21884	33379
396	21941	33326
397	21995	33270
398	22047	33209
399	22103	33155
400	22167	33113
401	22224	33059
402	22281	33008
403	22342	32961
404	22401	32910
405	22460	32860
406	22515	32805
407	22575	32755
408	22632	32704
409	22699	32664
410	22772	32634
411	22838	32594
412	22900	32549
413	22958	32496
414	23024	32455
415	23082	32404
416	23142	32354
417	23205	32310
418	23266	32261
419	23328	32215
420	23385	32161
421	23445	32112
422	23500	32056
423	23556	32001
424	23613	31947
425	23672	31896
426	23742	31860
427	23808	31818
428	23875	31777
429	23935	31728
430	23993	31676
431	24054	31627
432	24124	31590
433	24192	31551
434	24256	31505
435	24322	31463
436	24387	31419
437	24451	31374
438	24512	31325
439	24571	31272
440	24631	31222
441	24692	31172
442	24758	31130
443	24818	31079
444	24881	31031
445	24941	30980
446	25021	30954
447	25092	30917
448	25177	30897
449	25237	30845
450	25294	30790
451	25352	30736
452	25412	30685
453	25467	30627
454	25521	30569
