Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Противоугонная система,Центральный замок,Фронтальные,Усилитель руля,Управление климатом,Салон,Цвет салона,Мультимедиа и навигацияMP3,Управление на руле,Подушки безопасности,Коленные,Боковые передние,Сигнализация,Иммобилайзер,Электропривод,Кожаный руль,Активная безопасность,Антипробуксовка,Мультимедиа и навигация,Фары,Распред. тормозных усилий,Блок. дифференциала,Датчик дождя,Парктроник задний,Кожа,Мультимедиа и навигацияCD/DVD/Blu-rayMP3USBAUXBluetooth,Гидравлический,Омыватели фар,Обогрев,Помощь при вождении,Шторки,Электростеклоподъемники,Круиз-контроль,Боковые задние,Экстренное торможение,Климат-контроль многозонный,Датчик света,Люк,Светлый,Зеркал
"Audi A3 1.6 AT, 2007, 145 000 км","4,8",745000,"Москва, Новоорловская ул., вл3Бс1",2007,8P рестайлинг (2004—2008),145 000 км,8 записей в отчёте Автотеки,Дубликат,2,Не битый,1.6 Tiptronic (102 л.с.),1.6 л,Бензин,Автомат,Передний,Base,Хетчбек 3-дверный,Красный,Левый,WAUZ*************,Не интересует,Сигнализация,Подушки безопасности,Боковые передние,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi 80 1.8 MT, 1988, 350 000 км","4,6",220000,"Омская обл., Исилькульский р-н, Исилькуль, Юбилейная ул., 20",1988,B3 (1986—1991),350 000 км,8 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 MT (90 л.с.),1.8 л,Бензин,Механика,Передний,Base,Седан,Белый,Левый,WAUZ*************,Не интересует,,,,,,Люк,Тёмный,РадиоUSBAUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q5 2.0 AMT, 2020, 63 000 км","4,9",3950000,"Москва, Новомосковский административный округ, поселение Московский, д. Саларьево",2020,II (2016—2020),63 000 км,2 записи в отчёте Автотеки,,1,Не битый,45 TFSI 2.0 quattro S tronic (249 л.с.),2 л,Бензин,Робот,Полный,,Внедорожник 5-дверный,Белый,Левый,WA1B*************,Не интересует,,,,Электрический,Климат-контроль многозонный,,,,Атермальное остекление,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi Q7 3.0 AT, 2020, 44 500 км","5,0",5550000,"Минск, ул. Тимирязева, 125к10",2020,4M рестайлинг (2019—2024),44 500 км,2 записи в отчёте Автотеки,,1,Не битый,55 TFSI 3.0 quattro Tiptronic (340 л.с.),3 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Серый,Левый,WA1L*************,Не интересует,,,,Гидравлический,Климат-контроль многозонный,,,,Противоугонная система,,,,Центральный замок,Спутник,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A3 1.2 AMT, 2014, 137 000 км","4,7",1390000,"Республика Башкортостан, Уфа, ул. Шмидта, 162",2014,8V (2012—2016),137 000 км,20 записей в отчёте Автотеки,Оригинал,1,Не битый,1.2 TFSI S tronic (110 л.с.),1.2 л,Бензин,Робот,Передний,Ambition,Хетчбек 5-дверный,Белый,Левый,WAUZ*************,Не интересует,,,,Электрический,Климат-контроль многозонный,,,,Атермальное остекление,,,,,,Память настроек,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A5 2.0 AMT, 2016, 92 000 км",Отсутствует,2600000,"Челябинская обл., Челябинск, ул. Героев Танкограда, 7",2016,II (2016—2020),92 000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,45 TFSI 2.0 quattro S tronic (249 л.с.),2 л,Бензин,Робот,Полный,Sport,Купе,Чёрный,Левый,WAUZ*************,Не интересует,Центральный замок,,,Электрический,Климат-контроль многозонный,,,,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A7 3.0 AMT, 2017, 128 800 км","5,0",3500000,"Свердловская обл., Екатеринбург, ул. Циолковского, 27",2017,I рестайлинг (2014—2018),128 800 км,19 записей в отчёте Автотеки,Оригинал,2,Не битый,3.0 TFSI quattro S tronic (333 л.с.),3 л,Бензин,Робот,Полный,Base,Лифтбек,Фиолетовый,Левый,WAUZ*************,Не интересует,,,,,Климат-контроль многозонный,Кожа,,,,,,,Центральный замок,,,Противоугонная система,,,,,,,,,,,,,,,,,,,,,,,,
"Audi A4 1.8 CVT, 2013, 186 000 км","4,8",1400000,"Чувашская Республика, г.о. Чебоксары, Ленинский район, пл. Республики",2013,B8 рестайлинг (2011—2015),186 000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.8 TFSI Multitronic (160 л.с.),1.8 л,Бензин,Вариатор,Передний,Base,Седан,Чёрный,Левый,WAUZ*************,Не интересует,,,,Электрический,Климат-контроль однозонный,,,,,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,,,,,,,,,,,,,,,,,,,,,,
"Audi Q7 3.0 AT, 2011, 259 912 км","4,8",2250000,"Санкт-Петербург, пр-т Королёва",2011,4L рестайлинг (2009—2015),259 912 км,20 записей в отчёте Автотеки,Дубликат,4+,Не битый,3.0 TDI quattro Tiptronic (239 л.с.),3 л,Дизель,Автомат,Полный,Base,Внедорожник 5-дверный,Белый,Левый,WAUZ*************,Не интересует,Центральный замок,,,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Audi 100 1.8 MT, 1989, 200 000 км","5,0",110000,"Пензенская обл., Городищенский р-н, с. Чаадаевка, ул. Ленина, 189",1989,C3 рестайлинг (1988—1991),200 000 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 MT (90 л.с.),1.8 л,Бензин,Механика,Передний,Base,Седан,Красный,Левый,WAUZ*************,Возможен,,,,Гидравлический,,Ткань,Тёмный,,,,,,,,,,,,РадиоUSBAUX,Противотуманные,,,,,,,,,,,,,,,,,,,,
