Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Электростеклоподъемники,Активная безопасность,Антипробуксовка,Гидравлический,Противоугонная система,Подушки безопасности,Коленные,Управление климатом,Управление на руле,Усилитель руля,Кожа,Боковые передние,Салон,Кожаный руль,Память настроек,Зеркал,Цвет салона,Обогрев,Электропривод,Помощь при вождении,Парктроник задний,Центральный замок,Атермальное остекление,Складывания зеркал,Круиз-контроль,Люк,Тёмный,Задних сидений,Только передние,Распред. тормозных усилий,Обнаружение пешеходов,Сигнализация
"BMW 3 серия 1.9 MT, 2001, битый, 258 000 км","4,7",400000,"Республика Дагестан, Унцукульский р-н, пгт. Шамилькала, ул. Махача Дахадаева",2001,E46 (1998—2003),258 000 км,Проверить в Автотеке,Оригинал,4+,Битый,318i 1.9 MT (118 л.с.),1.9 л,Бензин,Механика,Задний,Базовая,Седан,Серебряный,Левый,WBAA*************,Возможен,Только передние,Антиблокировка тормозов,Усилитель руля,Управление климатом,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW X3 2.0 AT, 2011, 107 000 км","5,0",2150000,"Саратовская обл., Саратов, ул. имени И.В. Мичурина",2011,F25 (2010—2014),107 000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,20d 2.0 xDrive AT (184 л.с.),2 л,Дизель,Автомат,Полный,Special edition,Внедорожник 5-дверный,Белый,Левый,X4XW*************,Не интересует,,,,,Спутник,Фронтальные,Боковые передние,Климат-контроль однозонный,Салон,,,,,,,,,,,,,,,,,,,,,,,
"BMW X4 2.0 AT, 2020, 40 000 км","4,8",5500000,"Москва, пл. Крестьянская Застава, 1",2020,G02 (2018—2021),40 000 км,10 записей в отчёте Автотеки,Оригинал,1,Не битый,20d 2.0 xDrive Steptronic (190 л.с.),2 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,X4XV*************,Не интересует,,,,,Центральный замок,,,Климат-контроль многозонный,Атермальное остекление,Электрический,,,,,,,,,,,,,,,,,,,,,,
"BMW 3 серия 2.0 AT, 2013, 80 000 км","4,8",2250000,"Москва, ул. Коровий Вал, 5",2013,F30/F31 (2011—2015),80 000 км,8 записей в отчёте Автотеки,Оригинал,3,Не битый,320d 2.0 xDrive AT (184 л.с.),2 л,Дизель,Автомат,Полный,Sport Line,Седан,Синий,Левый,X4X3*************,Не интересует,,,,,,Фронтальные,Боковые передние,Климат-контроль однозонный,Салон,,Кожаный руль,,,,,,,,,,,,,,,,,,,,,
"BMW X4 2.0 AT, 2020, 72 000 км","4,8",2000000,"Свердловская обл., Екатеринбург, пл. 1905 года",2020,G02 (2018—2021),72 000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,20i 2.0 xDrive Steptronic (184 л.с.),2 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,WBAU*************,Не интересует,,,,,,Фронтальные,Шторки,Климат-контроль многозонный,Атермальное остекление,Электрический,,Боковые задние,,,,,,,,,,,,,,,,,,,,
"BMW X3 2.0 AT, 2019, 75 500 км","4,8",4600000,"Республика Татарстан, Казань, ул. Фатыха Амирхана, 1Г",2019,G01 (2017—2021),75 500 км,3 записи в отчёте Автотеки,Электронный,1,Не битый,25d 2.0 xDrive Steptronic (231 л.с.),2 л,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Белый,Левый,WBAT*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW X5 3.0 AT, 2014, 180 000 км","4,8",4200000,"Донецкий городской совет, Донецк, ул. Артёма, 123",2014,F15 (2013—2018),180 000 км,Проверить в Автотеке,Оригинал,1,Не битый,M50d 3.0 xDrive Steptronic (381 л.с.),3 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серый,Левый,WBAK*************,Не интересует,,,,,,,,Управление на руле,,,,,Кожа,Люк,Передних сидений,Рулевой колонки,,,,,,,,,,,,,,,,
"BMW 5 серия 3.0 AT, 2012, 159 600 км","4,8",1650000,"Москва, Ландышевая ул., вл17",2012,F10/F11 (2009—2013),159 600 км,22 записи в отчёте Автотеки,Дубликат,4+,Не битый,530d 3.0 xDrive AT (258 л.с.),3 л,Дизель,Автомат,Полный,,Седан,Чёрный,Левый,X4XF*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BMW 3 серия 2.0 AT, 2013, 149 400 км","4,8",1933333,"Калининградская обл., Гурьевский муниципальный округ, Гурьевск",2013,F30/F31 (2011—2015),149 400 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,320d 2.0 xDrive AT (184 л.с.),2 л,Дизель,Автомат,Полный,Sport Line,Седан,Чёрный,Левый,WBA3*************,Не интересует,,,,,,Фронтальные,Шторки,Климат-контроль многозонный,,Электрический,,Боковые задние,,,,,,,,,,,,,,,,,,,,
"BMW X3 2.0 AT, 2013, 117 000 км","5,0",2160000,"Москва, Новинский б-р, 18к2",2013,F25 (2010—2014),117 000 км,13 записей в отчёте Автотеки,,2,Не битый,28i 2.0 xDrive AT (245 л.с.),2 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,X4XW*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
