Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Комплектация,Управление климатом,Салон,Подушки безопасности,Шторки,Мультимедиа и навигацияUSB,Электрический,Усилитель руля,Противоугонная система,Обогрев,Электростеклоподъемники,Активная безопасность,Курсовая устойчивость,Зеркал,Антиблокировка тормозов,Кожаный руль,Фронтальные,ПТС,Иммобилайзер,Центральный замок,Гидравлический,Коленные,Сигнализация,Управление на руле,Боковые передние,Люк
"Haval F7x 2.0 AMT, 2023 Новый","4,6",2650000,"Санкт-Петербург, ул. Руставели, 53",2023,I (2019—2022),Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Серый,Левый,XZGF*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haval F7x 1.5 AMT, 2023 Новый","4,6",2107150,"Самарская обл., Самара, ул. Авроры, 150Е",2023,I рестайлинг (2022—2024),Не битый,1.5 AMT (150 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Чёрный,Левый,XZGE*************,Возможен,Comfort,Климат-контроль однозонный,Кожаный руль,Фронтальные,,,,,,,,,,,,,,,,,,,,,,
"Haval Jolion 1.5 AMT, 2023 Новый","4,4",1738790,"Ярославская обл., Ярославль, Ленинградский пр-т, 33",2023,I (2021—2024),Не битый,1.5 AMT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Синий,Левый,XZGE*************,Возможен,Premium,,,Фронтальные,Боковые передние,Усилитель руля,Управление климатом,,,,,,,,,,,,,,,,,,,
"Haval Dargo 2.0 AMT, 2023 Новый","4,0",2699000,"Краснодарский край, Краснодар, Центральный внутригородской округ, мкр-н Центральный, Береговая ул.",2023,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Серый,Левый,LGWF*************,Возможен,Elite,Климат-контроль многозонный,,,,,,Электрический,Сигнализация,,,,,,,,,,,,,,,,,
"Haval M6 1.5 AMT, 2024 Новый","4,9",1899000,"Краснодарский край, Краснодар, Карасунский внутригородской округ, жилой массив Пашковский, Крайняя ул., 84",2024,II (2020—2024),Не битый,1.5 AMT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Серый,Левый,LGWE*************,,Family,,,,,,,,,Передних сидений,Только передние,Антиблокировка тормозов,Экстренное торможение,,,,,,,,,,,,,
"Haval Jolion 1.5 AMT, 2024 Новый","5,0",1632290,"Архангельская обл., Архангельск, Московский пр-т, 35",2024,I рестайлинг (2023—2024),Не битый,1.5 DCT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Серый,Левый,XZGE*************,Возможен,Elite,Климат-контроль однозонный,,Фронтальные,Боковые передние,,,Электрический,,,,,,,,,,,,,,,,,,
"Haval Jolion 1.5 AMT, 2024 Новый","4,4",1999000,"Санкт-Петербург, Софийская ул., 2Б",2024,I (2021—2024),Не битый,1.5 AMT (143 л.с.),1.5 л,Бензин,Робот,Передний,Внедорожник 5-дверный,Чёрный,Левый,LGWE*************,Возможен,Premium,,,,,,,,,Передних сидений,,,,Активная безопасность,Курсовая устойчивость,,,,,,,,,,,
"Haval Dargo 2.0 AMT, 2023 Новый","4,0",3139000,"Челябинская обл., Челябинск, ул. Братьев Кашириных, 141",2023,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Чёрный,Левый,XZGF*************,Возможен,Premium,,,,,,,,,,,,,,,,,,,,,,,,,
"Haval Dargo 2.0 AMT, 2023 Новый","4,0",3029000,"Вологодская обл., Вологда, Копрецовская ул., 1",2023,I (2022—2024),Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Чёрный,Левый,LGWF*************,Возможен,Premium,,,,,,,,,,,,,,,,,,,,,,,,,
"Haval Jolion 1.5 AMT, 2023 Новый","4,4",2239000,"Оренбургская обл., Оренбург, ул. 10-й км",2023,I (2021—2024),Не битый,1.5 4WD AMT (150 л.с.),1.5 л,Бензин,Робот,Полный,Внедорожник 5-дверный,Белый,Левый,LGWE*************,Возможен,Elite,,,,,,,,,,,,,,,,,,,,,,,,,
