Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Усилитель руля,Управление климатом,Управление на руле,Подушки безопасности,Коленные,Боковые передние,Антиблокировка тормозов,Активная безопасность,Антипробуксовка,Распред. тормозных усилий,Обнаружение пешеходов,Кондиционер,Противоугонная система,Центральный замок,Атермальное остекление,Сигнализация,Иммобилайзер,Фронтальные,Цвет салона,Электростеклоподъемники,Помощь при вождении,Фары,Боковые задние,Электрический,Салон,Климат-контроль многозонный,Кожаный руль,Данные о ,О,Шторки,Блок. дифференциала,Климат-контроль однозонный,Мультимедиа и навигацияCD/DVD/Blu-rayMP3Bluetooth,Датчик дождя,Бортовой компьютер,Передних сидений,Электропривод,Память настроек,Гидравлический,Обслуживался у дилера,Спутник,Электрогидравлический,Обогрев,Зеркал,"Шины и диски15""",Мультимедиа и навигация,Складывания зеркал,Заднего стекла,Ткань,Круиз-контроль,Камера заднего вида,Люк,Тёмный,Передние и задние
"Honda Accord 2.4 AT, 2013, 156 000 км","4,8",1850000,"Мурманская обл., Мурманск, пр-т Ленина, 32",2013,IX (2012—2016),156 000 км,15 записей в отчёте Автотеки,Оригинал,3,Не битый,2.4 AT (180 л.с.),2.4 л,Бензин,Автомат,Передний,Executive,Седан,Серебряный,Левый,1HGC*************,Не интересует,Гидравлический,Климат-контроль многозонный,Атермальное остекление,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda CR-V 2.0 AT, 2007, 251 000 км","4,9",1150000,"Санкт-Петербург, ул. Дыбенко, 26",2007,III (2006—2009),251 000 км,8 записей в отчёте Автотеки,,2,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Серебряный,Левый,SHSR*************,Возможен,Гидравлический,Климат-контроль многозонный,,Фронтальные,,Активная безопасность,Курсовая устойчивость,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Fit 1.3 CVT, 2020, 53 600 км","5,0",1410000,"Тюменская обл., Тюмень, 2-й мкр-н",2020,GR (2019—2022),53 600 км,,Оригинал,1,Не битый,1.3 CVT (98 л.с.),1.3 л,Бензин,Вариатор,Передний,Базовая,Хетчбек 5-дверный,Серый,Правый,GR1-*******,Не интересует,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,Управление климатом,Салон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Accord 2.4 MT, 2008, 162 136 км","4,9",1299099,"Санкт-Петербург, пр-т Маршала Жукова, 78",2008,VIII (2007—2011),162 136 км,11 записей в отчёте Автотеки,,2,Не битый,2.4 MT (201 л.с.),2.4 л,Бензин,Механика,Передний,,Седан,Серый,Левый,JHMC*************,Возможен,Гидравлический,Климат-контроль многозонный,,,,,,,,,,,Сигнализация,Иммобилайзер,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Ridgeline 3.5 AT, 2021, 52 000 км",Отсутствует,4500000,"Московская обл., г.о. Домодедово, с. Домодедово, Песчаная ул.",2021,II рестайлинг (2021—2024),52 000 км,,Электронный,2,Не битый,3.5 4WD AT (280 л.с.),3.5 л,Бензин,Автомат,Полный,Базовая,Пикап,Белый,Левый,5FPY*************,Не интересует,Электрический,Управление на руле,,,,,,,,,,,,,Противоугонная система,Центральный замок,Спутник,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Civic 1.8 AMT, 2007, 268 000 км","4,8",690000,"Московская обл., Богородский г.о., Ногинск, ул. Кирова, 1",2007,VIII (2005—2009),268 000 км,19 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 AMT (140 л.с.),1.8 л,Бензин,Робот,Передний,,Хетчбек 5-дверный,Синий,Левый,SHHF*************,Не интересует,Электрический,Климат-контроль однозонный,Подушки безопасности,,,,,,,,,,,,,,,Боковые передние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Breeze 1.5 CVT, 2023, 10 км",Отсутствует,4529000,"Мурманская обл., Мурманск, Кольский пр-т, 83",2023,II (2022—2024),10 км,,,1,Не битый,240T 1.5 4WD CVT (193 л.с.),1.5 л,Бензин,Вариатор,Полный,Exclusive,Внедорожник 5-дверный,Зелёный,Левый,LHGR*************,Возможен,Электрический,Кондиционер,,,,,,,,,,,Сигнализация,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda Fit Shuttle 1.3 CVT, 2011, 127 000 км","4,7",1050000,"Новосибирская обл., Доволенский р-н, с. Довольное",2011,I (2011—2013),127 000 км,,Электронный,2,Не битый,1.3hyb CVT (88 л.с.),1.3 л,Гибрид,Вариатор,Передний,Базовая,Универсал,Синий,Правый,M580*****,Не интересует,Гидравлический,Климат-контроль однозонный,,,,,,,,,,,,,,,,,Светлый,Передние и задние,Камера заднего вида,Ксеноновые,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NS1 AT, 2022 Новый",Отсутствует,2900000,"Ростовская обл., Ростов-на-Дону, ул. Мечникова, 112Б",2022,I (2022—2024),,,,,Не битый,0.0 AT (204 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Голубой,Левый,LVHR*************,,,,,Фронтальные,Боковые передние,,,,,,,,,,,,,,,,,,Усилитель руля,Управление климатом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda ZR-V 1.5 CVT, 2022 Новый","5,0",4790000,"Москва, Домостроительная ул., 4с1",2022,I (2022—2024),,,Электронный,,Не битый,1.5 CVT (182 л.с.),1.5 л,Бензин,Вариатор,Передний,Base,Внедорожник 5-дверный,Синий,Левый,LHGR*************,,Электрический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,Люк,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Honda e:NS1 AT, 2022 Новый",Отсутствует,3599000,"Тульская обл., Тула, ул. Павшинский Мост, 2А",2022,I (2022—2024),,,Оригинал,,Не битый,0.0 AT (182 л.с.),,Электро,Автомат,Передний,Base,Внедорожник 5-дверный,Голубой,Левый,LVHR*************,,Электрический,Кондиционер,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
