Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Салон,Кожаный руль,Тёмный,Фары,Усилитель руля,Обогрев,Мультимедиа и навигацияUSBAUXBluetooth,Подушки безопасности,Активная безопасность,Мультимедиа и навигацияMP3USB,Электрический,Мультимедиа и навигацияMP3USBAUXBluetooth,Сигнализация,Управление климатом,Помощь при вождении,Противоугонная система,Электростеклоподъемники,"Шины и диски14""",Заднего стекла,Ткань,Мультимедиа и навигацияMP3,Электропривод,Цвет салона,Атермальное остекление,Мультимедиа и навигацияUSBAUX,Мультимедиа и навигацияUSBBluetooth,Сабвуфер,Мультимедиа и навигацияCD/DVD/Blu-rayMP3
"ВАЗ (LADA) 2114 Samara 1.6 MT, 2013, 185 000 км","4,1",325000,"Ставропольский край, Пятигорск, ул. Акопянца, 3",2013,I (2001—2014),185 000 км,12 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Хетчбек 5-дверный,Красный,Левый,XTA2*************,Не интересует,Ткань,Цвет салона,Аудиосистема4 колонки,Галогенные,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2008, 169 000 км","4,3",180000,"Краснодарский край, Краснодар, ул. Западный Обход, 42к2",2008,I (2007—2013),169 000 км,12 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Серый,Левый,XTA2*************,Не интересует,,,,,Гидравлический,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 2103 1.5 MT, 1980, 100 000 км","4,7",83000,"Омская обл., Омск, ул. Леонида Маслова, 3",1980,I (1972—1984),100 000 км,,Оригинал,4+,Не битый,1.5 MT (75 л.с.),1.5 л,Бензин,Механика,Задний,Базовая,Седан,Красный,Левый,1072***,Не интересует,,,,,,Заднего стекла,Аудиосистема4 колонки,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 2110 1.6 MT, 2010, 170 000 км","4,3",380000,"Ставропольский край, Ставрополь, Старомарьевское ш., 16",2010,I (1995—2014),170 000 км,8 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Седан,Синий,Левый,Y6L2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2011, 235 000 км","4,3",285000,"Тюменская обл., Ханты-Мансийский АО, Сургут, Быстринская ул., 18/2",2011,I (2007—2013),235 000 км,11 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Норма,Хетчбек 5-дверный,Белый,Левый,XTA2*************,Не интересует,Кожа,,,,Электрический,,,Фронтальные,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 2105 1.5 MT, 1984, 161 000 км","4,3",77000,"Республика Крым, Симферопольский р-н, Добровское сельское поселение, с. Пионерское, Алуштинская ул.",1984,I (1980—2011),161 000 км,Проверить в Автотеке,Оригинал,1,Не битый,1.5 MT (71 л.с.),1.5 л,Бензин,Механика,Задний,Базовая,Седан,Белый,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Kalina 1.4 MT, 2008, 95 000 км","4,3",270000,"Свердловская обл., Горноуральский г.о., с. Петрокаменское, Луговая ул., 11А",2008,I (2004—2013),95 000 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,1.4 MT (89 л.с.),1.4 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Синий,Левый,XTA1*************,Не интересует,,,,,,,,,Антиблокировка тормозов,Усилитель руля,Управление климатом,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 2114 Samara 1.6 MT, 2011, битый, 210 000 км","4,1",120000,"Пермский край, Пермь, ул. Солдатова, 26",2011,I (2001—2014),210 000 км,5 записей в отчёте Автотеки,Дубликат,4+,Битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серебряный,Левый,XTA2*************,Не интересует,,,,,,,,,,,,Противоугонная система,Центральный замок,,,,,,,,,,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2012, 126 000 км","4,3",498000,"Республика Башкортостан, Октябрьский, пл. имени Ленина",2012,I (2007—2013),126 000 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Норма 21723-21-045,Хетчбек 5-дверный,Серебряный,Левый,XTA2*************,Не интересует,,,,,Гидравлический,,,,,,,,,Атермальное остекление,Бортовой компьютер,Сигнализация,,,,,,,,,,,,
"ВАЗ (LADA) 2105 1.5 MT, 2006, 55 000 км","4,3",85000,"Ульяновская обл., Ульяновск, пр-т Гая",2006,I (1980—2011),55 000 км,11 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.5 MT (71 л.с.),1.5 л,Бензин,Механика,Задний,Базовая,Седан,Зелёный,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2014, 191 000 км","4,4",550000,"Карачаево-Черкесская Республика, Усть-Джегутинский р-н, аул Сары-Тюз",2014,I рестайлинг (2013—2018),191 000 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Norma,Седан,Белый,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 2111 1.6 MT, 2007, 176 000 км","4,5",185000,"Республика Башкортостан, Бирский р-н, Городское поселение город Бирск, Бирск, Шоссейная ул., 97",2007,I (1997—2014),176 000 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Универсал,Чёрный,Левый,XTA2*************,Не интересует,,,,,,Передних сидений,,,,,,,,,,,Только передние,Зимние шины в комплекте,Салон,Цвет салона,,,,,,,,
"ВАЗ (LADA) 2112 1.6 MT, 2007, 200 000 км","4,4",175000,"Республика Башкортостан, Салават, ул. Ленина",2007,I (1999—2009),200 000 км,6 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Norma,Хетчбек 5-дверный,Серебряный,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 2115 Samara 1.6 MT, 2009, 220 000 км","4,4",185000,"Ярославская обл., Ярославль, пр-т Фрунзе",2009,I (1997—2013),220 000 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Чёрный,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Kalina 1.6 MT, 2008, 150 000 км","4,3",200000,"Республика Башкортостан, Стерлитамак, ул. Гоголя",2008,I (2004—2013),150 000 км,6 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серый,Левый,XTA1*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Priora 1.6 MT, 2012, 200 000 км","4,3",320000,"Тюменская обл., Ханты-Мансийский АО, Сургут, пл. Советов",2012,I (2007—2013),200 000 км,16 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Белый,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) Granta 1.6 MT, 2018, 229 000 км","4,2",490000,"Республика Башкортостан, Салават, 49-50-й кварталы",2018,I рестайлинг (2018—2024),229 000 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ВАЗ (LADA) 2114 Samara 1.6 MT, 2008, 290 000 км","4,1",250000,"Ставропольский край, Ставрополь, ул. Тухачевского, 27/1",2008,I (2001—2014),290 000 км,6 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Чёрный,Левый,XTA2*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,
