Название авто,Рейтинг,Цена,Расположение,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен,Противоугонная система,Центральный замок,Фронтальные,Гидравлический,Усилитель руля,Управление климатом,Управление на руле,Салон,Цвет салона,Электростеклоподъемники,Электропривод,Мультимедиа и навигацияCD/DVD/Blu-rayMP3,Подушки безопасности,Коленные,Боковые передние,Активная безопасность,Антипробуксовка,Распред. тормозных усилий,Данные о ,О,Передних сидений,Заднего стекла,Передние и задние,Зеркал,Антиблокировка тормозов,Шторки,Обогрев,Задних сидений,Иммобилайзер,Помощь при вождении,Парктроник задний,Бортовой компьютер,Атермальное остекление,Камера заднего вида,Датчик дождя,Круиз-контроль,Боковые задние,Шины и диски,Кожаный руль,Мультимедиа и навигацияUSBAUX,Электрический,Блок. дифференциала,Климат-контроль многозонный,Сигнализация,Мультимедиа и навигацияMP3,Курсовая устойчивость,Мультимедиа и навигация,Тёмный,Обслуживался у дилера,Мультимедиа и навигацияUSBAUXBluetooth,Ксеноновые,Климат-контроль однозонный,РадиоUSB,Ткань,ВидеоUSBAUXBluetoothGPS-навигатор
"Volkswagen Golf 1.6 MT, 1999, 255 000 км","4,7",275000,"Калужская обл., Людиновский р-н, городское поселение Людиново, Людиново, ул. Урицкого",1999,Mk4 (1997—2006),255 000 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (101 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Чёрный,Левый,WVWZ*************,Не интересует,Сигнализация,Подушки безопасности,Усилитель руля,Управление климатом,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.4 AMT, 2021, 27 000 км","4,7",2100000,"Москва, Красноказарменная ул.",2021,VI (2020—2023),27 000 км,4 записи в отчёте Автотеки,Электронный,1,Не битый,1.4 TSI DSG (125 л.с.),1.4 л,Бензин,Робот,Передний,Exclusive,Лифтбек,Коричневый,Левый,XW8Z*************,Не интересует,Сигнализация,Иммобилайзер,,,Электрический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 MT, 1988, 180 000 км","4,7",40000,"Липецкая обл., Чаплыгинский р-н, Кривополянский сельсовет, с. Кривополянье, ул. Комарова, 38",1988,B3 (1988—1993),180 000 км,Проверить в Автотеке,Оригинал,2,Не битый,1.8 MT (90 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Седан,Белый,Левый,WVWZ*************,Не интересует,,,,,Гидравлический,,,Люк,Тёмный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Caddy 1.2 MT, 2014, 389 238 км","4,9",750000,"Московская обл., Мытищи, ул. Мира",2014,III рестайлинг (2010—2015),389 238 км,5 записей в отчёте Автотеки,,3,Не битый,1.2 TSI MT (105 л.с.),1.2 л,Бензин,Механика,Передний,CrossCaddy,Фургон,Серый,Левый,WV2Z*************,Не интересует,,,,,Гидравлический,Кондиционер,,Ткань,Тёмный,Только передние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 2.0 MT, 2005, 215 000 км","4,6",800000,"Севастополь, ул. Хрусталёва, 173",2005,B6 (2005—2010),215 000 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,2.0 TDI MT (140 л.с.),2 л,Дизель,Механика,Передний,Highline,Универсал,Серебряный,Левый,WVWZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2015, 138 000 км","4,8",850000,"Ставропольский край, Пятигорск, пл. Ленина",2015,V (2009—2015),138 000 км,6 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Club,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.6 MT, 2006, 175 094 км","4,7",520000,"Архангельская обл., Архангельск, Стрелковая ул., 25к1",2006,Mk5 (2003—2009),175 094 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (102 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Красный,Левый,WVWZ*************,Не интересует,Центральный замок,,,,Электрический,Климат-контроль многозонный,,,,,Зеркал,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 AT, 2021, 34 232 км","4,7",1070000,"Московская область, Одинцово",2021,VI (2020—2023),34 232 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Exclusive,Лифтбек,Чёрный,Левый,XW8Z*************,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Touareg 3.0 AT, 2012, 261 000 км","4,9",1789400,"Москва, ул. Малыгина, 1",2012,II (2010—2014),261 000 км,11 записей в отчёте Автотеки,Оригинал,2,Не битый,3.0 TDI 4Motion AT (204 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Серый,Левый,XW8Z*************,Возможен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 MT, 1988, 446 000 км","4,7",110000,"Московская обл., Луховицы, ул. Куйбышева, 320",1988,B3 (1988—1993),446 000 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,1.8 MT (90 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Универсал,Красный,Левый,WVWZ*************,Не интересует,,,,,Гидравлический,,,Велюр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.4 MT, 1999, 295 000 км","4,7",195000,"Ивановская обл., Заволжский р-н, Заволжское городское поселение, Заволжск, Октябрьский пер.",1999,III рестайлинг (1999—2001),295 000 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,1.4 MT (60 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Серебряный,Левый,WVWZ*************,Не интересует,,,,,Гидравлический,Кондиционер,,,,,,ВидеоUSBAUXBluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Touareg 2.5 AT, 2008, 186 000 км","4,6",1150000,"Оренбургская обл., Орск, Дорожная ул., 3",2008,I рестайлинг (2006—2010),186 000 км,2 записи в отчёте Автотеки,,1,Не битый,2.5 TDI AT (174 л.с.),2.5 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,WVGZ*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Jetta 2.0 AMT, 2019, 105 000 км","5,0",2250000,"Гродно, Октябрьский район",2019,VII (2018—2021),105 000 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,2.0 TSI DSG (230 л.с.),2 л,Бензин,Робот,Передний,GLI,Седан,Чёрный,Левый,3VW6*************,Не интересует,,,,,Электрический,Управление на руле,,,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 1.8 AMT, 2012, 168 000 км","4,7",1180000,"Удмуртская Республика, Ижевск, ул. Азина, 123",2012,B7 (2010—2015),168 000 км,21 запись в отчёте Автотеки,Оригинал,3,Не битый,1.8 TSI DSG (152 л.с),1.8 л,Бензин,Робот,Передний,Comfortline,Седан,Серый,Левый,WVWZ*************,Возможен,Центральный замок,,,,Гидравлический,Климат-контроль многозонный,Атермальное остекление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 2.0 MT, 2006, 219 545 км","4,6",690000,"Москва, ул. Академика Королёва, 32",2006,B6 (2005—2010),219 545 км,15 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 TDI MT (140 л.с.),2 л,Дизель,Механика,Передний,Highline,Универсал,Чёрный,Левый,WVWZ*************,Не интересует,Сигнализация,Иммобилайзер,,,Электрогидравлический,Климат-контроль многозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Phaeton 3.0 AT, 2007, 232 500 км","5,0",1150000,"Ставропольский край, Минераловодский муниципальный округ, Минеральные Воды, пр-т 22-го Партсъезда",2007,I (2002—2010),232 500 км,Проверить в Автотеке,Оригинал,2,Не битый,3.0 TDI 4Motion AT (233 л.с.),3 л,Дизель,Автомат,Полный,Базовая,Седан,Чёрный,Левый,WVWZ*************,Не интересует,,,,,Гидравлический,Климат-контроль многозонный,Атермальное остекление,,,,,,Фронтальные,Шторки,Боковые задние,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2021, 89 700 км","4,7",1385000,"Республика Башкортостан, Уфа, Яркий б-р, 5",2021,VI (2020—2023),89 700 км,Проверить в Автотеке,Электронный,1,Не битый,1.6 MPI MT (110 л.с.),1.6 л,Бензин,Механика,Передний,Football Edition,Лифтбек,Белый,Левый,XW8Z*************,Возможен,,,,,Электрический,Кондиционер,,,,,,,,,,Антиблокировка тормозов,Курсовая устойчивость,Экстренное торможение,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2014, 208 000 км","4,8",750000,"Республика Башкортостан, Уфа, ул. Юрия Гагарина, 42А",2014,V (2009—2015),208 000 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Style,Седан,Синий,Левый,XW8Z*************,Возможен,Центральный замок,,,,Электрический,Климат-контроль однозонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2014, 127 000 км","4,8",890000,"Тюменская обл., Тюмень, мкр-н Тюменский-1, ул. Розы Трениной, 3",2014,V (2009—2015),127 000 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI MT (85 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,XW8Z*************,,,,,,,,,,,,,,,,,,,,Т,Есть сервисная книжка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Golf 1.4 MT, 2012, 165 000 км","4,8",790000,"Липецкая обл., Липецк, Октябрьский округ",2012,Mk6 (2008—2012),165 000 км,10 записей в отчёте Автотеки,Дубликат,1,Не битый,1.4 TSI MT (122 л.с.),1.4 л,Бензин,Механика,Передний,R-Line,Хетчбек 5-дверный,Белый,Левый,WVWZ*************,Не интересует,,,,,Электрический,Климат-контроль многозонный,Обогрев,,,,,,,,,,,,,,Электростеклоподъемники,Электропривод,Салон,Кожаный руль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Polo 1.6 MT, 2016, 198 000 км","4,8",800000,"Воронежская обл., Россошанский р-н, городское поселение Россошь, Россошь, ул. Белинского",2016,V рестайлинг (2015—2020),198 000 км,12 записей в отчёте Автотеки,Дубликат,3,Не битый,1.6 MPI MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Trendline,Седан,Белый,Левый,XW8Z*************,Не интересует,,,,,Гидравлический,Кондиционер,,,,,,,Фронтальные,,,Антиблокировка тормозов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Passat 2.0 MT, 1995, 120 000 км","4,8",230000,"Кировская обл., Киров, район Исторический Центр",1995,B4 (1993—1997),120 000 км,8 записей в отчёте Автотеки,Оригинал,1,Не битый,2.0 MT (115 л.с.),2 л,Бензин,Механика,Передний,Базовая,Седан,Белый,Левый,WVWE*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Volkswagen Tiguan 2.0 AT, 2015, 155 281 км","4,8",1199000,"Москва, Фрунзенская наб., 22/2",2015,I рестайлинг (2011—2019),155 281 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,2.0 TSI 4Motion AT (170 л.с.),2 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Серебряный,Левый,XW8Z*************,Не интересует,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
